#OK
#SQL= select *
#	  from millimil..MMField
#	 where snapnum=63 
#	   
#MAXROWS UNLIMITED
#QUERYTIMEOUT 30 sec
#DATE 2022-06-28 07:42:28.918 CEST
#QUERYTIME 55 millisec
#COLUMN 1 name=snapnum JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 2 name=phkey JDBC_TYPE=4 JDBC_TYPENAME=int
#COLUMN 3 name=cic JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 4 name=g1_25 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 5 name=g2_5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 6 name=g5 JDBC_TYPE=7 JDBC_TYPENAME=real
#COLUMN 7 name=g10 JDBC_TYPE=7 JDBC_TYPENAME=real
#snapnum,phkey,cic,g1_25,g2_5,g5,g10
63,81,0.19644485,0.23043305,0.38749707,0.8093449,0.92451286
63,82,0.47779384,0.3053728,0.2948706,0.639745,0.8648353
63,83,0.18645613,0.29832208,0.33574662,0.667227,0.8741488
63,84,0.2796842,0.27421898,0.317033,0.660475,0.89485115
63,85,0.18812092,0.22901043,0.26522234,0.6074517,0.88806397
63,86,0.14816603,0.21830545,0.35238534,0.76672846,0.95108175
63,87,0.11653508,0.17965229,0.43870136,0.832267,0.9569461
63,88,0.09822243,0.23518802,0.57719046,0.89767545,0.9631047
63,89,0.19145049,0.44118196,0.73977876,0.95701057,0.9702563
63,90,0.10987593,0.38822147,0.6371235,0.9280361,0.95346385
63,91,0.5577036,0.35578424,0.5280037,0.8831301,0.9423941
63,92,0.35127002,0.3865193,0.38814303,0.70340955,0.88491786
63,93,0.44616288,0.45675713,0.42933568,0.74650127,0.8978695
63,94,1.9711076,0.6846716,0.44803315,0.7724121,0.9120618
63,95,0.15648997,0.39402482,0.38692108,0.71738106,0.9026583
63,96,0.75581324,0.47272712,0.3551201,0.57617646,0.8428169
63,97,0.09489285,0.36218923,0.37272686,0.6176565,0.85264957
63,98,0.10821114,0.28773525,0.36600175,0.5982497,0.8399498
63,99,0.66757953,0.41790587,0.36037177,0.56632143,0.8268941
63,100,0.40121365,0.3427762,0.36191732,0.4775948,0.7719778
63,101,0.056602754,0.24771374,0.37058437,0.49419734,0.7837143
63,102,0.07990977,0.32398388,0.3673391,0.5041899,0.7958788
63,103,0.6309542,0.42418972,0.34973937,0.48015413,0.78708327
63,104,0.14483646,0.2785076,0.30036932,0.4536606,0.78069973
63,105,0.14483646,0.1612604,0.24809125,0.43006694,0.77621865
63,106,0.09489285,0.17589867,0.24500825,0.49530306,0.82880497
63,107,0.22974059,0.31734645,0.30232427,0.5335192,0.8350417
63,108,0.3928897,0.32976088,0.32382208,0.5394458,0.81634265
63,109,0.14317167,0.22272132,0.2831601,0.5202078,0.8076355
63,110,0.17147304,0.1794383,0.29946274,0.45131695,0.75598925
63,111,0.20476879,0.28158608,0.32902616,0.46233535,0.7629461
63,112,0.47279948,0.40153158,0.39208716,0.48948422,0.7516845
63,113,0.13151817,0.2448677,0.3939641,0.48902753,0.7423825
63,114,0.32463345,0.26812413,0.35361847,0.5649137,0.79260015
63,115,0.31297994,0.38338274,0.36775732,0.56580144,0.8035737
63,116,0.890661,0.5013995,0.41599968,0.6051151,0.801297
63,117,0.1281886,0.3791217,0.4392253,0.62105066,0.78781354
63,118,0.12485901,0.4140292,0.5009143,0.5343532,0.738841
63,119,0.8889962,0.5848832,0.46096322,0.526408,0.7507523
63,120,0.7325062,0.45565993,0.42578864,0.5254236,0.76469505
63,121,0.2780194,0.39298564,0.41068265,0.6034139,0.81676716
63,122,0.1281886,0.3343495,0.38412097,0.5777821,0.8165958
63,123,0.39788407,0.35113478,0.39621204,0.49559808,0.76315266
63,124,0.101552,0.26084355,0.3915892,0.5065302,0.7775203
63,125,0.3545996,0.33651033,0.39318693,0.6007528,0.8324542
63,126,0.76580197,0.4505301,0.44408965,0.6181745,0.8350866
63,127,0.11154072,0.312496,0.40916362,0.5325551,0.7814518
63,128,0.17147304,0.46230504,0.4716556,0.48234585,0.73084235
63,129,2.280758,1.1321678,0.5658533,0.4589636,0.68654156
63,130,3.7923844,1.3980358,0.5434264,0.42124692,0.68234473
63,131,0.24971803,0.58041036,0.46686837,0.45038706,0.7264607
63,132,0.12152945,0.33767408,0.44970572,0.45226195,0.71492565
63,133,0.09822243,0.5134006,0.49109438,0.43414602,0.6745566
63,134,0.3679179,0.6284426,0.5567506,0.47272176,0.67635477
63,135,0.14317167,0.42730165,0.49224555,0.48574865,0.71693003
63,136,1.1553621,0.6433241,0.52680546,0.48919562,0.7056649
63,137,0.23972932,0.6241953,0.576818,0.49171057,0.69630784
63,138,0.8257343,0.90857494,0.61580426,0.4784537,0.6624766
63,139,0.35127002,0.5779765,0.5639274,0.47961208,0.6685677
63,140,0.08323935,0.30804792,0.45740438,0.44097555,0.66944975
63,141,1.421728,0.72406477,0.50638896,0.44227985,0.6663043
63,142,0.26969546,0.40733653,0.46415186,0.45333672,0.69962704
63,143,0.3412813,0.37468693,0.4373478,0.45294842,0.7062215
63,144,0.27136025,0.26192465,0.34786615,0.4231673,0.7168154
63,145,0.08323935,0.27627313,0.34841686,0.41937095,0.71268976
63,146,0.6209655,0.52202404,0.38158137,0.40889624,0.67940694
63,147,0.12152945,0.23469976,0.34887096,0.40665528,0.67993516
63,148,0.3928897,0.26681128,0.28059313,0.38630965,0.69773227
63,149,0.48112342,0.3537344,0.29753822,0.3874068,0.6997482
